kills,dpm,damageshare,earned gpm,earnedgoldshare,minionkills,cspm,goldat15,csat15,killsat15
4,358.0432,0.199794,351.9247,0.257979,376,11.0795,5393,141,0
3,302.6183,0.196813,320.6706,0.310767,357,10.9968,5437,145,0
0,316.2333,0.139108,216.0667,0.223131,228,8.1333,5139,130,0
10,561.4667,0.249544,412.1333,0.289877,265,9.8333,5855,144,2
2,354.6458,0.286467,350.5895,0.274767,345,11.7793,5770,152,0
0,300.5841,0.212639,216.7334,0.259939,262,9.2807,4755,126,0
8,452.6357,0.251122,335.0196,0.268255,253,8.8976,4968,121,1
7,525.1931,0.3475,347.6441,0.316521,277,9.502,5563,153,1
12,557.6235,0.246191,438.7562,0.289613,257,9.4947,6696,126,3
2,535.3026,0.23904,264.553,0.253695,262,9.4947,5227,128,1
2,417.4936,0.228291,330.1702,0.297831,272,9.6545,6772,132,1
0,277.1016,0.221719,188.3858,0.218099,249,7.8597,4767,124,0
11,692.4038,0.240776,402.3596,0.285687,228,9.2366,6961,132,5
2,340.6562,0.178704,175.1167,0.191481,175,6.776,4738,105,1
5,483.7867,0.312737,357.9761,0.322873,302,10.4461,5497,151,0
2,448.5963,0.223135,236.9967,0.235945,237,7.9325,5748,142,0
1,341.2396,0.197825,295.4487,0.231687,320,10.3515,5413,147,0
1,337.9926,0.250793,270.9991,0.252183,355,10.185,5119,145,0
6,536.3606,0.271498,316.8614,0.247493,227,8.3139,5536,132,0
1,362.6043,0.194791,223.1386,0.277829,228,7.8464,4562,114,0
4,488.7836,0.236199,307.3752,0.270188,346,9.6543,4853,122,0
1,320.0512,0.178929,249.3214,0.268976,350,9.3726,5315,137,0
1,231.1063,0.164809,294.6703,0.307346,328,11.5422,5959,160,0
4,290.3215,0.253541,371.9673,0.290775,350,12.1962,5396,151,0
7,550.5288,0.278136,402.0793,0.272835,266,10.1683,6402,147,2
3,447.4038,0.314948,281.3221,0.296544,259,9.9159,5739,145,1
0,115.0715,0.115819,252.7186,0.26798,305,10.2385,5311,144,0
7,492.0191,0.297691,404.8331,0.320408,346,11.6375,5527,156,0
3,358.4715,0.270268,276.7433,0.306884,341,10.3397,5769,155,1
4,437.5325,0.194627,303.4166,0.233971,264,9.1109,4890,125,0
10,422.2168,0.215227,398.8551,0.303937,348,9.7442,4827,118,1
10,513.715,0.29581,395.7125,0.349741,427,11.3764,6914,157,4
0,138.1449,0.129219,254.2029,0.264025,341,10.3478,5030,144,0
2,187.0725,0.114315,364.2899,0.25633,357,11.5362,5294,144,0
4,421.6865,0.174054,301.8486,0.235475,273,9.7297,5071,146,0
2,252.0649,0.201431,277.0378,0.295974,265,8.7243,5456,146,0
7,663.0018,0.276567,365.0633,0.254404,256,9.6926,5887,148,0
4,228.4629,0.183144,270.1989,0.299642,227,8.4991,4764,127,0
5,681.0714,0.342696,333.3214,0.270983,254,9.5,5084,119,0
0,233,0.176162,248.0714,0.227327,249,9.7857,5086,144,0
11,447.3992,0.22071,348.8105,0.284755,258,8.3165,5978,136,2
2,400.3125,0.192774,231.5625,0.228084,241,7.7722,5282,130,0
0,197.6261,0.144863,193.1395,0.241002,227,8.2255,5010,129,0
4,536.2967,0.191168,321.0089,0.215944,248,9.543,5458,128,1
4,360.0345,0.152982,356.3448,0.264745,283,10.1724,5546,144,0
1,165.6552,0.144499,208.1379,0.25076,234,8.2069,5038,137,0
6,491.6542,0.243179,310.6297,0.237594,270,8.9007,5676,150,1
7,358.143,0.209546,341.27,0.312171,285,9.6371,5419,144,1
4,553.0661,0.264734,351.2479,0.320461,436,11.8017,5231,142,0
9,656.3802,0.28991,379.0909,0.297035,327,9.5207,5732,140,1
3,207.4002,0.147578,304.0312,0.241182,312,9.406,5462,148,1
1,148.7147,0.131833,270.1753,0.243265,327,10.37,5527,147,1
1,244.3629,0.240135,224.5174,0.276861,228,9.112,5330,153,0
5,406.6023,0.221584,343.7066,0.247593,234,9.3436,5300,134,1
2,312.1885,0.248493,256.6806,0.24823,288,9.5497,5513,140,1
5,324.6597,0.190205,329.4974,0.273329,306,9.9895,5488,137,1
1,279.3731,0.157551,293.9104,0.294667,304,9.8806,6753,151,1
9,599.7313,0.260223,327.0448,0.247096,273,8.9851,4870,125,0
13,737.5039,0.37731,358.6321,0.298504,364,9.0881,4728,133,0
10,592.6043,0.311875,352.7202,0.303716,360,9.0881,6281,144,2
9,614.0579,0.366262,423.9555,0.353926,418,12.2673,6350,158,0
3,365.6392,0.26071,278.833,0.271287,336,10.1826,4827,128,0
2,421.6403,0.187621,351.4338,0.251221,279,11.4095,5905,163,0
0,245.9052,0.155912,212.3694,0.241686,245,9.0036,4849,134,0
2,313.7782,0.192633,284.1021,0.279153,329,10.8342,5227,127,1
7,566.8793,0.359678,409.843,0.340694,341,11.1874,6858,154,2
2,388.9286,0.215483,297.5549,0.290866,337,10,6422,158,0
6,631.511,0.294679,334.5604,0.277744,330,9.9451,5581,143,2
4,406.8722,0.191674,325.2412,0.276108,307,9.816,5410,145,1
1,269.269,0.128848,256.6783,0.252059,308,9.7862,4907,136,0
11,433.973,0.209593,413.8231,0.317954,332,10.9145,5036,140,0
4,481.979,0.223486,268.7256,0.251944,281,8.9055,5167,126,1
13,915.4545,0.330398,440.176,0.325454,313,10.5865,6546,135,4
1,253.9883,0.102653,199.2669,0.182931,246,7.7126,4810,107,1
0,335.8891,0.204682,159.0416,0.189931,195,7.1709,4651,120,0
