gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,4,Blue,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Jhin,2177,1,4,1,6,19,8,0,0,0,0,0,0,0,0,0.5237,0.7441,1,0,12991,358.0432,0.199794,276.2977,150.1516,19,0.5237,11,0.3032,11,45,1.2402,17486,12769,351.9247,0.257979,17225,402,376,26,11.0795,3151,3084,82,3429,3727,87,-278,-643,-5,0,0,0,0,1,0,5393,6129,141,5437,6334,145,-44,-205,-4,0,2,0,0,1
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,9,Red,bot,HyBriD,oe:player:d4236a5c6d033d0388ab042acd884f1,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Kai'Sa,2177,0,3,3,2,8,19,0,0,0,0,0,0,0,0,0.2205,0.7441,0,1,10980,302.6183,0.196813,480.689,410.1883,31,0.8544,18,0.4961,5,58,1.5985,16352,11635,320.6706,0.310767,14925,399,357,42,10.9968,3429,3727,87,3151,3084,82,278,643,5,0,1,0,0,0,0,5437,6334,145,5393,6129,141,44,205,4,0,1,0,0,2
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,4,Blue,bot,HyBriD,oe:player:d4236a5c6d033d0388ab042acd884f1,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Aphelios,1800,0,0,5,3,8,23,0,0,0,0,0,0,0,0,0.2667,1.0333,0,1,9487,316.2333,0.139108,489.6,232.3333,8,0.2667,14,0.4667,2,26,0.8667,10430,6482,216.0667,0.223131,10025,244,228,16,8.1333,3416,3819,84,3793,3784,97,-377,35,-13,0,1,0,1,0,0,5139,6086,130,5855,5852,144,-716,234,-14,0,3,1,2,1
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,9,Red,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Kai'Sa,1800,1,10,1,4,23,8,2,2,0,0,1,1,0,0,0.7667,1.0333,1,0,16844,561.4667,0.249544,394.1333,277.2667,29,0.9667,13,0.4333,6,55,1.8333,16312,12364,412.1333,0.289877,14350,295,265,30,9.8333,3793,3784,97,3416,3819,84,377,-35,13,1,0,0,0,1,0,5855,5852,144,5139,6086,130,716,-234,14,2,1,1,0,3
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,4,Blue,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Aphelios,1849,1,2,0,3,12,1,0,0,0,0,0,0,0,0,0.3894,0.3894,0,0,10929,354.6458,0.286467,270.3083,218.1287,15,0.4867,16,0.5192,7,57,1.8496,14852,10804,350.5895,0.274767,12525,363,345,18,11.7793,3446,3178,94,3249,2909,85,197,269,9,0,0,0,0,0,0,5770,5565,152,4755,4827,126,1015,738,26,0,1,0,0,0
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,9,Red,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Kai'Sa,1849,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0.3894,0,0,9263,300.5841,0.212639,427.5933,241.4278,15,0.4867,5,0.1622,2,32,1.0384,10727,6679,216.7334,0.259939,10000,286,262,24,9.2807,3249,2909,85,3446,3178,94,-197,-269,-9,0,0,0,0,0,0,4755,4827,126,5770,5565,152,-1015,-738,-26,0,0,0,0,1
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,4,Blue,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Kai'Sa,1787,1,8,1,3,17,8,2,2,0,0,0,0,0,0,0.5708,0.8394,2,0,13481,452.6357,0.251122,426.9502,280.3246,18,0.6044,8,0.2686,1,31,1.0409,13899,9978,335.0196,0.268255,11475,265,253,12,8.8976,3052,3144,78,3366,3264,93,-314,-120,-15,0,0,0,0,0,0,4968,5832,121,5563,6248,153,-595,-416,-32,1,1,0,1,0
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,9,Red,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Jhin,1787,0,7,2,0,8,17,2,1,0,0,0,0,0,0,0.2686,0.8394,0,2,15642,525.1931,0.3475,371.1136,181.7459,14,0.4701,7,0.235,6,29,0.9737,14275,10354,347.6441,0.316521,11950,283,277,6,9.502,3366,3264,93,3052,3144,78,314,120,15,0,0,0,0,0,0,5563,6248,153,4968,5832,121,595,416,32,1,0,0,1,1
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,4,Blue,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Samira,1801,1,12,2,7,24,16,2,1,1,0,1,1,0,0,0.7996,1.3326,1,0,16738,557.6235,0.246191,681.3548,329.7501,11,0.3665,14,0.4664,4,39,1.2993,17120,13170,438.7562,0.289613,13050,285,257,28,9.4947,3820,3063,72,3322,2911,78,498,152,-6,2,1,1,1,1,1,6696,5579,126,5227,5396,128,1469,183,-2,3,2,1,1,2
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,9,Red,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Kai'Sa,1801,0,2,6,7,16,24,0,0,0,0,0,0,0,0,0.533,1.3326,0,1,16068,535.3026,0.23904,610.6607,353.1371,22,0.7329,10,0.3331,4,39,1.2993,11891,7941,264.553,0.253695,11525,285,262,23,9.4947,3322,2911,78,3820,3063,72,-498,-152,6,1,1,1,2,1,1,5227,5396,128,6696,5579,126,-1469,-183,2,1,2,2,3,2
