kills,assists,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,earned gpm,monsterkills,killsat15,assistsat15
2,8,366.8627,0.204715,553.8907,264.1158,239.2283,222,1,3
1,4,263.9504,0.171665,767.322,423.0041,179.3937,156,0,0
4,3,351.8,0.154753,794.7667,411.3,193.4,127,2,3
4,5,349.1,0.155158,1213.7333,925.8,245.8667,160,3,2
4,5,275.2731,0.222353,1012.4067,708.2856,266.5765,178,2,1
0,0,253.4667,0.179308,501.2547,307.2363,146.6739,157,0,0
5,8,313.2625,0.173798,861.4214,635.5568,254.9748,130,1,2
0,6,224.8573,0.148779,290.4309,464.9916,196.2843,160,0,2
5,7,443.0205,0.195593,619.1227,315.9578,276.513,162,2,3
8,5,423.1982,0.188979,540.0999,332.8151,233.1038,105,5,2
2,4,378.9067,0.207191,885.5493,554.2032,222.393,199,1,0
3,1,264.4456,0.211592,973.8628,721.2378,181.9185,147,1,0
7,14,749.0726,0.260482,558.3218,415.571,329.6025,135,3,6
0,3,382.3722,0.200588,1133.8297,864.53,212.2145,142,0,1
2,6,295.9195,0.191293,1058.5528,895.9195,207.7149,152,0,0
0,4,327.6496,0.162975,518.6181,328.6942,168.803,161,0,1
7,2,379.6762,0.220107,329.9167,751.3599,314.6253,232,0,0
4,1,278.7142,0.206808,978.6772,959.2784,212.0537,152,2,1
5,7,337.1619,0.170667,1256.4608,1146.2771,284.207,167,1,2
1,1,543.9733,0.292223,669.182,510.7846,199.0317,167,0,0
3,6,489.7567,0.236669,745.9155,429.8592,252.9321,226,1,1
0,3,140.3841,0.0784836,575.4673,383.4315,193.598,177,0,1
0,3,168.5559,0.120202,845.9183,450.3433,184.8719,164,0,0
0,2,97.4387,0.0850942,930.2452,396.1308,191.6076,169,0,1
2,9,310.3846,0.156811,689.351,354.2308,254.6394,169,0,3
1,2,228.9663,0.16118,968.0048,438.4976,162.0433,133,1,0
2,1,404.0382,0.406663,871.5739,380.7949,184.8013,164,1,0
0,7,256.5024,0.155194,775.6121,491.0652,207.6948,175,0,1
0,4,154.8851,0.116775,929.6404,813.6863,144.4256,159,0,1
2,10,428.5714,0.190641,586.2438,392.3377,247.043,203,0,3
1,15,327.6248,0.167008,905.2375,812.57,221.8514,162,0,1
1,15,268.4531,0.154582,711.3033,446.2119,153.7637,148,1,3
2,2,205.6232,0.192338,463.6522,293.913,228.7246,174,0,1
4,7,216.8116,0.132488,721.3043,394.9855,234.1159,171,1,1
3,9,234.4541,0.0967725,640.5081,276.3568,222.5189,157,0,0
2,2,324.6162,0.259408,895.9135,453.9243,174.5838,144,1,0
4,7,423.1465,0.176513,618.3002,306.6546,266.4738,166,2,1
0,3,139.4575,0.111794,907.8481,927.9204,175.2984,153,0,0
6,3,324.0357,0.163046,359.6429,769.8571,299.7143,179,4,0
2,0,102.8571,0.0777664,842.75,493.5357,161.1071,129,2,0
7,9,420.3327,0.207358,913.3065,804.6774,269.6976,157,3,1
1,2,275.8972,0.132861,876.0786,489.3448,191.4919,185,0,0
3,1,305.9466,0.224264,1081.4955,592.1662,196.8071,136,1,0
3,10,481.6736,0.171697,1053.7567,574.5045,314.3501,222,0,2
4,5,277.4828,0.117905,675.8621,431,309.1034,194,1,0
2,1,352.1724,0.307195,1124.1379,572.7931,203.7241,153,0,1
5,9,472.0598,0.233487,638.0363,416.8623,289.3383,202,1,1
1,6,511.953,0.299539,985.6457,632.6254,204.4931,181,1,2
4,6,434.6529,0.208053,998.4793,825.5702,155.7521,138,0,0
5,5,294.3223,0.129996,1235.2562,1312.1653,221.7769,162,1,1
0,3,163.6709,0.116462,542.483,231.5579,203.9533,195,0,0
1,3,135.0438,0.119714,767.2347,458.4713,176.6115,161,0,2
0,1,133.6293,0.131317,701.4672,426.7568,168.2625,142,0,0
5,9,282.471,0.153937,519.1506,350.5792,315.2896,171,1,2
2,2,241.9162,0.192559,977.1832,796.1152,211.7592,186,0,2
1,6,365.5602,0.214167,871.288,600.8796,248.1047,207,0,1
4,1,540.4179,0.304766,986.7164,578.0597,231.0149,174,0,0
2,16,406.597,0.176422,1100.1791,1613.1642,262.5075,211,0,1
4,9,327.3107,0.167453,1260.0464,1314.3431,235.711,216,1,1
0,7,436.136,0.229529,879.4359,589.9614,230.0541,250,0,1
1,4,179.6526,0.107156,794.4588,519.8218,168.8285,165,1,0
3,3,299.2784,0.213393,676.8909,531.3408,186.3073,179,1,1
4,3,349.2102,0.155391,863.4751,698.2017,234.0948,132,0,0
2,1,220.3524,0.139711,791.9563,424.8481,166.695,130,2,1
3,5,274.3867,0.16845,805.4956,540.5594,172.4043,132,2,2
3,10,246.1237,0.156162,718.0864,460.0393,187.7134,121,1,3
2,1,214.0385,0.118586,1015.9341,899.533,163.7363,171,0,0
3,9,448.3242,0.209199,342.6648,739.3407,259.8901,194,0,3
9,5,629.9552,0.296766,638.3988,904.7737,318.7071,198,1,1
2,5,417.643,0.199846,1121.2929,1078.2994,216.9667,177,0,2
3,7,360.7496,0.174228,644.2579,301.3193,211.5142,176,1,0
2,4,230.8846,0.107057,1004.9475,605.0075,156.7316,145,0,1
0,13,331.5249,0.119651,736.0117,419.7067,177.5073,160,0,3
5,5,514.1056,0.207782,1199.5894,1095.5132,186.5396,141,3,2
2,0,288.5335,0.175825,864.1801,569.2725,175.3233,146,1,0
4,10,345.5196,0.157869,1022.9446,618.7413,253.8915,152,2,2
2,9,486.0834,0.216797,501.2146,995.6356,317.0149,233,0,2
1,1,216.5929,0.162001,769.9949,579.403,146.9892,144,0,1
8,8,614.8524,0.282828,1176.0636,1250.6889,382.0742,151,2,2
1,3,352.0061,0.230854,549.7199,665.9955,227.2824,139,0,1
0,8,144.4685,0.0749507,959.7217,1498.3301,216.8303,241,0,0
3,3,430.5528,0.214742,353.7147,880.2629,210.3827,229,0,0
5,1,368.2581,0.26421,703.0505,504.3682,197.5181,180,2,0
6,1,220.3971,0.160274,588.4386,395.5505,270.9747,225,3,0
1,4,374.6124,0.197903,888.5659,665.9302,256.5891,169,0,1
4,4,195.3876,0.108123,785.6589,652.2093,189.3411,115,2,1
0,2,205.7985,0.142381,874.0478,888.1896,163.5781,196,0,0
3,4,430.6319,0.221244,404.1161,821.1956,238.5909,224,1,1
4,13,313.4727,0.131719,862.9804,527.2556,289.4808,149,2,4
0,5,245.0573,0.138215,968.0108,543.5199,154.9562,128,0,2
0,2,183.942,0.107026,741.7971,461.1304,160.5507,156,0,1
2,9,246.4928,0.161941,931.0435,810.4638,202.8116,158,1,0
1,3,133.0996,0.0760941,671.9776,759.6634,175.568,163,1,0
2,8,202.4404,0.128508,702.3562,435.4278,199.8317,178,2,4
2,7,355.1039,0.163209,722.4926,500.1484,207.6261,169,1,0
2,8,510.2374,0.278038,838.7834,437.4184,219.0208,177,1,0
6,5,451.935,0.247601,456.1595,292.9985,271.7578,197,1,1
2,7,220.7386,0.148028,877.5185,672.4077,181.1226,141,1,2
8,9,353.9911,0.155676,749.3009,552.4343,298.3937,216,2,6
4,1,324.3629,0.291644,1038.0863,900.8627,192.0773,126,1,1
2,3,391.5544,0.201652,593.1917,321.544,185.8756,158,1,2
4,8,320.487,0.158327,934.3523,761.4093,248.487,132,0,1
7,7,454.5632,0.169631,778.8592,631.5725,290.4728,184,1,1
0,3,325.2826,0.227106,1194.6351,933.8232,148.3659,151,0,1
0,5,279.1318,0.226901,813.6334,511.1254,172.2508,149,0,1
4,7,284.0836,0.166441,635.7556,265.1768,259.8392,184,0,0
2,1,219.7785,0.198226,882.4557,662.6203,189.2468,264,0,0
2,5,186.4937,0.11529,665.7911,487.0063,158.2215,202,1,2
0,0,86.1555,0.0797834,820.6791,678.3023,156.6375,151,0,0
4,5,359.7043,0.181633,599.3757,306.9003,290.9639,224,2,1
1,11,406.0767,0.192892,1067.9703,925.953,235.2475,145,0,0
1,0,268.5891,0.196123,899.7401,570.3342,162.4752,130,0,0
2,6,711.2633,0.337497,929.6239,578.2449,253.3944,228,0,3
4,17,439.9036,0.184469,1037.5892,976.2584,271.5043,184,0,2
5,9,222.1262,0.126351,923.0897,560.0997,236.9767,164,1,4
0,5,314.1196,0.171113,874.8173,443.1561,207.7741,194,0,0
3,11,454.0133,0.193338,586.2299,317.9129,224.3703,209,0,1
1,9,90.2472,0.0494531,1032.805,1159.7254,173.8093,171,1,2
2,5,312.6111,0.128532,858.5721,477.0644,151.7524,104,2,1
6,10,403.4049,0.173568,1184.6331,1466.6001,270.1048,171,1,1
1,7,291.3665,0.145575,464.4444,721.788,172.8736,204,1,0
3,8,394.6871,0.193525,954.9425,937.5223,198.1865,152,1,1
11,2,541.3103,0.227884,1169.7157,1147.7379,312.0396,165,3,0
2,10,272.8801,0.111821,994.2892,1232.3362,203.4363,163,0,3
3,1,436.6411,0.186633,1025.5278,732.1209,247.025,227,2,0
2,6,148.0998,0.0922691,1023.1382,979.7505,182.7639,168,0,1
0,5,250.404,0.119061,957.1717,539.4613,130.5051,115,0,4
3,15,232.1886,0.0783271,1234.8485,1226.532,246.0943,133,0,5
3,6,385.1187,0.244813,689.657,361.2929,209.4459,202,2,3
1,4,289.5515,0.15302,801.3456,550.0792,239.1557,273,0,1
0,0,190.411,0.219451,294.1781,619.4178,206.3699,172,0,0
2,4,350.8904,0.28673,553.9384,251.4726,260.2397,203,1,0
2,4,366.5379,0.200968,807.2,555.1724,199.5034,186,1,0
1,6,412.0828,0.190818,737.4069,376.331,244.1103,196,0,1
1,1,180.1677,0.118886,974.891,818.1666,157.7977,140,0,0
7,6,483.6557,0.19257,1015.8077,742.303,262.3365,162,0,3
2,12,362.2474,0.130918,954.5589,634.1843,194.5786,159,0,1
3,9,377.8019,0.206852,938.8566,841.1237,187.3041,132,0,3
6,3,364.702,0.222419,649.0474,517.7569,245.4622,163,2,0
