gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,2,Blue,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Taliyah,2177,1,2,3,8,19,8,0,0,0,0,0,0,0,0,0.5237,0.7441,0,0,13311,366.8627,0.204715,553.8907,264.1158,43,1.1851,27,0.7441,12,96,2.6458,13397,8680,239.2283,0.175369,11700,273,51,222,7.5241,3536,4323,77,3369,3950,77,167,373,0,0,1,1,0,0,0,5738,6947,122,4835,5942,110,903,1005,12,1,3,1,0,0,0
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,7,Red,jng,PangSu,oe:player:cdcfff132d87b57f4ab4ef2e89a1689,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Nidalee,2177,0,1,2,4,8,19,0,0,0,0,0,0,0,0,0.2205,0.7441,0,0,9577,263.9504,0.171665,767.322,423.0041,52,1.4332,39,1.0749,15,112,3.0868,11226,6509,179.3937,0.173857,10925,204,48,156,5.6224,3369,3950,77,3536,4323,77,-167,-373,0,0,0,0,0,1,1,4835,5942,110,5738,6947,122,-903,-1005,-12,0,0,0,1,3,1
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,2,Blue,jng,PangSu,oe:player:cdcfff132d87b57f4ab4ef2e89a1689,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Pantheon,1800,0,4,6,3,8,23,0,0,0,0,0,0,0,0,0.2667,1.0333,0,0,10554,351.8,0.154753,794.7667,411.3,25,0.8333,12,0.4,9,55,1.8333,9750,5802,193.4,0.199725,9000,146,19,127,4.8667,3340,3411,55,3349,3390,65,-9,21,-10,1,1,1,1,0,2,5406,5057,78,5787,6557,102,-381,-1500,-24,2,3,3,3,2,3
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,7,Red,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Olaf,1800,1,4,3,5,23,8,0,0,0,0,0,0,0,0,0.7667,1.0333,0,0,10473,349.1,0.155158,1213.7333,925.8,14,0.4667,9,0.3,13,43,1.4333,11324,7376,245.8667,0.172936,10125,176,16,160,5.8667,3349,3390,65,3340,3411,55,9,-21,10,1,0,2,1,1,1,5787,6557,102,5406,5057,78,381,1500,24,3,2,3,2,3,3
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,2,Blue,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Olaf,1849,1,4,0,5,12,1,0,0,0,0,1,1,0,0,0.3894,0.3894,0,0,8483,275.2731,0.222353,1012.4067,708.2856,14,0.4543,10,0.3245,13,41,1.3304,12263,8215,266.5765,0.208926,10885,204,26,178,6.6198,3456,4028,77,3132,3440,70,324,588,7,0,0,0,0,0,0,6008,6656,113,4659,5657,113,1349,999,0,2,1,0,0,0,1
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,7,Red,jng,Mir,oe:player:abfd02e2b6f54ea12bc17037b08ff86,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Graves,1849,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0.3894,0,0,7811,253.4667,0.179308,501.2547,307.2363,8,0.2596,10,0.3245,9,43,1.3953,8568,4520,146.6739,0.175919,8250,194,37,157,6.2953,3132,3440,70,3456,4028,77,-324,-588,-7,0,0,0,0,0,0,4659,5657,113,6008,6656,113,-1349,-999,0,0,0,1,2,1,0
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,2,Blue,jng,Mir,oe:player:abfd02e2b6f54ea12bc17037b08ff86,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Olaf,1787,1,5,2,8,17,8,0,0,0,0,0,0,0,1,0.5708,0.8394,0,0,9330,313.2625,0.173798,861.4214,635.5568,12,0.4029,11,0.3693,12,42,1.4102,11515,7594,254.9748,0.204162,9400,170,40,130,5.7079,3115,3723,63,3365,3527,66,-250,196,-3,0,1,1,0,1,0,5576,6505,109,5117,5747,111,459,758,-2,1,2,1,0,2,0
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,7,Red,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Graves,1787,0,0,1,6,8,17,0,0,0,0,1,0,1,0,0.2686,0.8394,0,0,6697,224.8573,0.148779,290.4309,464.9916,11,0.3693,21,0.7051,10,58,1.9474,9767,5846,196.2843,0.178711,9700,205,45,160,6.883,3365,3527,66,3115,3723,63,250,-196,3,0,1,0,0,1,1,5117,5747,111,5576,6505,109,-459,-758,2,0,2,0,1,2,1
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,2,Blue,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Taliyah,1801,1,5,3,7,24,16,0,0,0,0,0,0,0,0,0.7996,1.3326,0,0,13298,443.0205,0.195593,619.1227,315.9578,15,0.4997,16,0.533,14,53,1.7657,12250,8300,276.513,0.182523,11400,205,43,162,6.8295,3321,3360,59,3961,3865,64,-640,-505,-5,1,1,1,3,0,0,5902,5888,94,6243,6302,100,-341,-414,-6,2,3,2,5,2,1
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,7,Red,jng,Mir,oe:player:abfd02e2b6f54ea12bc17037b08ff86,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Graves,1801,0,8,4,5,16,24,1,0,0,0,0,0,0,0,0.533,1.3326,0,0,12703,423.1982,0.188979,540.0999,332.8151,5,0.1666,13,0.4331,8,38,1.266,10947,6997,233.1038,0.223538,10925,167,62,105,5.5636,3961,3865,64,3321,3360,59,640,505,5,3,0,0,1,1,1,6243,6302,100,5902,5888,94,341,414,6,5,2,1,2,3,2
