kills,assists,dpm,damageshare,damagetakenperminute,earned gpm,cspm,goldat15,csat15,killsat15,assistsat15
2,8,363.5002,0.202839,627.5333,283.8218,8.7919,5467,147,1,1
3,3,564.1433,0.3669,390.6201,289.9954,10.2802,5728,167,0,0
3,2,799,0.351471,379.8667,267.5667,9.7333,6244,137,3,1
3,10,624.9333,0.277752,440,269.2,7.5667,5749,122,2,3
2,7,295.7491,0.238893,532.9584,269.5295,8.8264,5411,144,1,0
0,0,458.7128,0.324503,186.0681,251.5522,10.7734,5829,172,0,0
3,10,584.5215,0.324293,296.3402,323.5367,10.2406,5228,137,1,1
0,5,356.8103,0.236087,576.329,190.0392,8.1589,4801,131,0,1
3,9,356.6019,0.15744,825.3748,343.8423,9.6946,5973,134,2,0
5,7,819.9778,0.366161,429.8945,288.2399,7.829,6061,128,2,4
0,3,346.787,0.189628,247.7978,234.3373,9.376,5423,160,0,0
1,3,407.6844,0.326203,285.8587,204.2909,7.9216,5187,141,0,0
7,10,762.3218,0.265089,294.6246,305.9811,7.9117,5982,122,3,4
1,4,300.265,0.157515,674.9148,201.5773,7.4196,4701,110,0,3
2,6,396.1045,0.256056,345.4407,234.124,8.259,4707,140,0,0
0,3,391.469,0.19472,354.1567,232.3286,8.9445,5714,146,0,2
2,9,520.1573,0.301548,280.7678,283.5708,9.2692,5127,147,0,0
0,5,293.062,0.217454,429.0194,253.2655,7.9926,6161,132,0,4
6,10,450.2504,0.22791,315.4257,291.6861,8.9482,5711,146,2,2
0,1,470.1503,0.252565,450.8848,183.005,8.2805,4914,137,0,0
3,8,536.927,0.259464,250.6786,291.4469,9.2702,5904,150,1,1
2,2,525.1472,0.29359,397.8489,183.9437,6.9398,5120,136,0,1
2,0,398.2561,0.284009,410.158,203.248,7.9455,4990,142,0,0
3,3,340.9046,0.297716,378.1798,259.3243,8.5014,5797,143,2,0
6,11,587.4159,0.296772,275.8774,384.7356,10.4207,7521,162,4,3
0,2,237.2236,0.166992,413.5817,197.0192,7.8245,5280,134,0,1
0,2,188.3307,0.189554,351.7329,262.1304,9.9205,5253,138,0,1
2,8,441.5898,0.26718,236.1844,258.3148,8.0445,4880,134,0,0
0,4,388.3217,0.292774,393.7163,204.2757,8.4515,5196,149,0,1
5,7,588.3117,0.261698,325.6843,282.4376,8.1518,5905,144,1,2
6,9,696.0536,0.354816,400.7552,327.9659,9.4519,6096,162,0,1
6,4,573.9099,0.330472,435.4446,244.458,7.43,4907,134,0,1
0,5,341.6232,0.319551,420.9565,231.6232,9.5362,4975,140,0,1
7,6,879.8261,0.537639,229.7101,374.1449,10.8406,5615,162,0,1
2,13,695.7405,0.287172,355.0703,283.427,8.7892,5314,160,0,0
2,3,361.9784,0.289265,595.1351,210.2595,7.9784,4786,130,0,2
2,9,302.5316,0.126199,277.179,320.1085,8.9693,6486,159,0,3
0,4,401.3382,0.321727,428.2821,232.1881,9.3671,5369,147,0,0
1,9,478.5714,0.240804,420.2143,250.4643,8.8571,5247,145,0,1
2,1,397.0357,0.300184,334.5714,324.8929,11.5714,5766,167,0,0
3,14,538.0645,0.265437,466.3004,268.5786,8.0746,5100,136,0,3
3,2,466.9355,0.224857,397.0464,226.2097,8.2863,5356,133,2,0
1,2,291.3472,0.213562,525.7567,188.1543,7.549,4623,122,0,1
8,8,839.9644,0.299414,291.5608,415.9407,11.003,7124,163,3,2
1,6,464.1379,0.197216,333.7241,284.8621,9.3793,5846,140,1,0
0,2,227.7931,0.198701,416.5862,196.5172,8.8276,4765,132,0,1
5,8,439.9146,0.217588,325.7737,335.7631,8.8367,6783,152,2,0
1,5,296.8943,0.17371,512.8175,231.3234,7.7801,5251,132,0,0
2,8,673.7355,0.322494,482.8264,309.2479,10.2893,5406,143,0,0
1,10,510.6694,0.225552,378.9174,257.0579,7.8347,6227,152,0,3
4,7,480.7303,0.34207,296.6115,331.0808,10.0779,5726,136,2,2
3,3,489.5229,0.433954,419.1529,279.7274,9.6397,5783,139,2,2
0,1,252.3938,0.248027,453.3591,188.7259,8.3784,4773,133,0,0
3,13,534.5946,0.291335,250.0386,341.6602,10.5019,5965,157,0,4
0,2,247.8534,0.197285,411.3927,212.1361,8.733,5005,141,0,1
2,3,326.4503,0.191254,268.3665,253.1309,9.1414,5463,148,1,1
1,4,312.5075,0.176237,468.0299,218.9851,7.5821,4795,129,0,0
1,14,562.0299,0.243864,266.3881,260.5075,9.0746,5401,155,0,1
0,9,331.6229,0.16966,319.2658,251.4065,9.5286,5595,163,0,1
1,4,281.4297,0.148111,332.2257,261.3756,8.8563,5260,148,0,0
1,6,339.3942,0.202436,333.2472,220.8909,7.6437,5600,158,0,0
