gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,3,Blue,mid,Bdd,oe:player:30361653a485a9609fb2d3aa073282c,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Yone,2177,1,2,1,8,19,8,0,0,0,0,0,0,0,0,0.5237,0.7441,1,0,13189,363.5002,0.202839,627.5333,865.4938,19,0.5237,17,0.4685,14,44,1.2127,15015,10298,283.8218,0.208057,13650,319,290,29,8.7919,3321,4862,90,3605,5064,104,-284,-202,-14,0,0,0,0,0,0,5467,7762,147,5728,7987,167,-261,-225,-20,1,1,0,0,0,0
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,8,Red,mid,ucal,oe:player:bd6a2e6aaeb993fd29f43790265297f,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Orianna,2177,0,3,3,3,8,19,0,0,0,0,0,0,0,0,0.2205,0.7441,0,1,20469,564.1433,0.3669,390.6201,452.6872,15,0.4134,11,0.3032,5,33,0.9095,15239,10522,289.9954,0.28104,14425,373,360,13,10.2802,3605,5064,104,3321,4862,90,284,202,14,0,0,0,0,0,0,5728,7987,167,5467,7762,147,261,225,20,0,0,0,1,1,0
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,3,Blue,mid,ucal,oe:player:bd6a2e6aaeb993fd29f43790265297f,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Viktor,1800,0,3,3,2,8,23,0,0,0,0,0,0,0,0,0.2667,1.0333,0,0,23970,799,0.351471,379.8667,377.1,12,0.4,7,0.2333,4,30,1,11975,8027,267.5667,0.276311,11880,292,268,24,9.7333,3690,4634,87,3435,4596,84,255,38,3,1,1,0,0,2,0,6244,7490,137,5749,7592,122,495,-102,15,3,1,1,2,3,0
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,8,Red,mid,Bdd,oe:player:30361653a485a9609fb2d3aa073282c,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Syndra,1800,1,3,0,10,23,8,0,0,0,0,0,0,0,0,0.7667,1.0333,0,0,18748,624.9333,0.277752,440,199.8667,15,0.5,7,0.2333,5,29,0.9667,12024,8076,269.2,0.189347,11375,227,211,16,7.5667,3435,4596,84,3690,4634,87,-255,-38,-3,0,2,0,1,1,0,5749,7592,122,6244,7490,137,-495,102,-15,2,3,0,3,1,1
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,3,Blue,mid,Clozer,oe:player:6adb46561c24655e0455d9b3fdc5698,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Galio,1849,1,2,0,7,12,1,0,0,0,0,0,0,0,0,0.3894,0.3894,0,0,9114,295.7491,0.238893,532.9584,567.6149,15,0.4867,5,0.1622,6,35,1.1357,12354,8306,269.5295,0.21124,10400,272,260,12,8.8264,3265,4783,91,3687,5292,109,-422,-509,-18,0,0,0,0,0,0,5411,7805,144,5829,8342,172,-418,-537,-28,1,0,0,0,0,0
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Zoe,1849,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0.3894,0,0,14136,458.7128,0.324503,186.0681,87.8745,17,0.5516,11,0.3569,7,47,1.5251,11800,7752,251.5522,0.301696,11025,332,316,16,10.7734,3687,5292,109,3265,4783,91,422,509,18,0,0,0,0,0,0,5829,8342,172,5411,7805,144,418,537,28,0,0,0,1,0,0
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Orianna,1787,1,3,2,10,17,8,0,0,0,0,0,0,0,0,0.5708,0.8394,0,0,17409,584.5215,0.324293,296.3402,251.08,15,0.5036,7,0.235,8,34,1.1416,13557,9636,323.5367,0.259061,13750,305,265,40,10.2406,3622,4750,93,3188,4521,85,434,229,8,1,0,0,0,0,1,5228,6764,137,4801,6932,131,427,-168,6,1,1,1,0,1,2
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,8,Red,mid,Clozer,oe:player:6adb46561c24655e0455d9b3fdc5698,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Zoe,1787,0,0,5,5,8,17,0,0,0,0,0,0,0,0,0.2686,0.8394,0,0,10627,356.8103,0.236087,576.329,293.3856,13,0.4365,3,0.1007,5,25,0.8394,9581,5660,190.0392,0.173025,9525,243,227,16,8.1589,3188,4521,85,3622,4750,93,-434,-229,-8,0,0,1,1,0,0,4801,6932,131,5228,6764,137,-427,168,-6,0,1,2,1,1,1
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,3,Blue,mid,Clozer,oe:player:6adb46561c24655e0455d9b3fdc5698,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Irelia,1801,1,3,2,9,24,16,0,0,0,0,0,0,0,0,0.7996,1.3326,0,0,10704,356.6019,0.15744,825.3748,573.8479,11,0.3665,2,0.0666,3,17,0.5664,14271,10321,343.8423,0.226964,11883,291,272,19,9.6946,3530,4486,81,3377,4322,80,153,164,1,1,0,1,0,3,1,5973,7016,134,6061,7061,128,-88,-45,6,2,0,1,2,4,2
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Viktor,1801,0,5,4,7,16,24,1,0,0,0,0,0,0,0,0.533,1.3326,0,0,24613,819.9778,0.366161,429.8945,470.7385,19,0.633,11,0.3665,8,45,1.4992,12602,8652,288.2399,0.276408,12180,235,221,14,7.829,3377,4322,80,3530,4486,81,-153,-164,-1,0,3,1,1,0,1,6061,7061,128,5973,7016,134,88,45,-6,2,4,2,2,0,1
