wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,assistsat15,assists
67,1.8466,28,0.7717,20,112,3.0868,0,7
75,2.0671,13,0.3583,26,93,2.5632,0,5
48,1.6,9,0.3,22,65,2.1667,3,5
51,1.7,21,0.7,20,96,3.2,2,10
48,1.5576,18,0.5841,16,93,3.0178,1,7
58,1.8821,17,0.5516,23,94,3.0503,0,0
49,1.6452,27,0.9065,19,113,3.7941,2,11
51,1.7124,9,0.3022,19,66,2.216,1,7
47,1.5658,11,0.3665,19,68,2.2654,5,14
46,1.5325,6,0.1999,17,69,2.2987,3,10
59,1.8257,8,0.2476,19,84,2.5993,2,7
52,1.6091,16,0.4951,20,95,2.9397,0,2
36,1.3628,8,0.3028,13,63,2.3849,5,18
47,1.7792,4,0.1514,15,59,2.2334,3,5
59,1.926,7,0.2285,19,82,2.6768,0,10
52,1.6975,9,0.2938,18,82,2.6768,2,5
71,1.9704,17,0.4718,18,110,3.0527,0,11
69,1.9149,21,0.5828,27,120,3.3302,0,1
45,1.5025,15,0.5008,12,89,2.9716,4,18
68,2.2705,17,0.5676,11,103,3.4391,0,2
73,1.8694,13,0.3329,20,110,2.8169,2,6
56,1.4341,26,0.6658,17,125,3.201,0,2
54,1.7657,21,0.6866,17,87,2.8447,0,3
61,1.9946,11,0.3597,20,79,2.5831,0,4
39,1.4063,10,0.3606,11,62,2.2356,4,13
45,1.6226,12,0.4327,16,73,2.6322,2,5
57,1.8124,11,0.3498,19,85,2.7027,0,0
49,1.558,7,0.2226,15,68,2.1622,0,11
61,1.8282,12,0.3596,25,86,2.5774,0,2
60,1.7982,18,0.5395,22,111,3.3267,3,12
94,2.2899,20,0.4872,26,138,3.3618,0,11
77,1.8758,21,0.5116,31,118,2.8745,4,11
72,2.087,15,0.4348,26,105,3.0435,0,3
68,1.971,16,0.4638,22,105,3.0435,1,10
50,1.6216,11,0.3568,15,84,2.7243,0,13
52,1.6865,7,0.227,17,78,2.5297,2,5
38,1.3743,14,0.5063,13,87,3.1465,1,8
39,1.4105,11,0.3978,9,65,2.3508,0,4
29,1.0357,6,0.2143,6,47,1.6786,4,13
39,1.3929,13,0.4643,16,69,2.4643,1,2
54,1.6331,20,0.6048,23,97,2.9335,5,17
58,1.754,16,0.4839,19,73,2.2077,2,3
49,1.7448,6,0.2136,18,68,2.4214,1,3
41,1.4599,14,0.4985,13,77,2.7418,1,13
38,1.3103,14,0.4828,12,82,2.8276,0,6
59,2.0345,10,0.3448,19,83,2.8621,0,1
59,1.889,11,0.3522,20,93,2.9776,2,12
54,1.7289,14,0.4482,21,85,2.7215,2,10
67,1.6612,16,0.3967,23,88,2.1818,0,9
61,1.5124,19,0.4711,20,109,2.7025,2,15
61,1.7819,18,0.5258,20,102,2.9796,1,2
62,1.8111,15,0.4382,25,101,2.9503,2,3
36,1.39,7,0.2703,15,65,2.5097,0,0
43,1.6602,11,0.4247,17,74,2.8571,3,14
81,2.5445,21,0.6597,15,119,3.7382,1,4
53,1.6649,19,0.5969,15,85,2.6702,1,7
50,1.4925,10,0.2985,15,87,2.597,1,4
61,1.8209,9,0.2687,12,93,2.7761,0,15
83,1.9243,14,0.3246,22,121,2.8053,0,15
132,3.0603,18,0.4173,27,182,4.2195,2,8
64,1.7105,20,0.5345,17,94,2.5122,1,11
73,1.951,10,0.2673,26,98,2.6192,0,4
38,1.3852,19,0.6926,13,78,2.8433,0,10
38,1.3852,12,0.4374,14,67,2.4423,0,1
59,1.737,16,0.4711,21,72,2.1197,1,4
60,1.7664,13,0.3827,21,91,2.6791,3,12
76,2.0879,21,0.5769,27,100,2.7473,0,4
62,1.7033,15,0.4121,21,109,2.9945,1,9
57,1.7006,11,0.3282,15,96,2.8642,1,14
57,1.7006,19,0.5669,17,91,2.7151,1,6
59,1.7691,15,0.4498,20,93,2.7886,1,11
88,2.6387,21,0.6297,22,150,4.4978,2,7
48,1.4076,10,0.2933,22,74,2.1701,3,13
59,1.7302,10,0.2933,26,81,2.3754,5,9
50,1.7321,8,0.2771,21,66,2.2864,1,2
38,1.3164,11,0.3811,12,72,2.4942,4,11
56,1.7293,22,0.6794,13,108,3.335,3,10
62,1.9146,18,0.5558,20,96,2.9645,0,2
29,1.3172,13,0.5905,12,65,2.9523,0,9
