gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,5,Blue,sup,Life,oe:player:dea5251e486aed942e1bc06e1d5c116,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Sett,2177,1,1,2,7,19,8,0,0,0,0,0,0,0,0,0.5237,0.7441,0,0,3264,89.9587,0.0501984,336.2425,215.6913,67,1.8466,28,0.7717,20,112,3.0868,8791,4074,112.283,0.0823135,8850,56,56,0,1.5434,2083,2476,16,2243,2276,10,-160,200,6,0,0,0,1,0,0,3198,2855,22,3253,3113,16,-55,-258,6,1,0,0,1,0,
ESPORTSTMNT01/1690520,complete,LCK,2021,0,2021/1/13 7:00,1,11.01,10,Red,sup,Zzus,oe:player:2df72e2c6d92a7c074a408f7bda4a0b,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Alistar,2177,0,1,4,5,8,19,0,0,0,0,0,0,0,0,0.2205,0.7441,0,0,3666,101.0381,0.0657119,420.6339,627.9192,75,2.0671,13,0.3583,26,93,2.5632,7630,2913,80.2848,0.0778118,7100,35,35,0,0.9646,2243,2276,10,2083,2476,16,160,-200,-6,1,0,0,0,0,0,3253,3113,16,3198,2855,22,55,258,-6,1,0,2,1,0,
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,5,Blue,sup,Zzus,oe:player:2df72e2c6d92a7c074a408f7bda4a0b,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Thresh,1800,0,0,6,5,8,23,0,0,0,0,0,0,0,1,0.2667,1.0333,0,0,2689,89.6333,0.0394287,411.3,223.8333,48,1.6,9,0.3,22,65,2.1667,5972,2024,67.4667,0.0696819,5800,28,28,0,0.9333,1944,1465,11,2486,2184,15,-542,-719,-4,0,1,2,1,1,0,3033,3090,19,3892,3667,21,-859,-577,-2,0,3,4,2,2,
ESPORTSTMNT01/1690549,complete,LCK,2021,0,2021/1/13 8:54,2,11.01,10,Red,sup,Life,oe:player:dea5251e486aed942e1bc06e1d5c116,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Sett,1800,1,2,3,10,23,8,0,0,0,0,1,0,1,0,0.7667,1.0333,0,0,6179,205.9667,0.0915421,496.2,505.9,51,1.7,21,0.7,20,96,3.2,8376,4428,147.6,0.103821,6750,42,38,4,1.4,2486,2184,15,1944,1465,11,542,719,4,1,1,0,0,1,2,3892,3667,21,3033,3090,19,859,577,2,2,2,1,0,3,
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,5,Blue,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Thresh,1849,1,2,1,7,12,1,0,0,0,0,0,0,0,0,0.3894,0.3894,0,0,2475,80.3137,0.0648738,282.0227,147.907,48,1.5576,18,0.5841,16,93,3.0178,8504,4456,144.5971,0.113331,7250,45,45,0,1.4602,2171,2785,15,2151,2617,16,20,168,-1,0,0,0,0,0,0,3689,4136,27,3040,3539,24,649,597,3,0,1,0,0,0,
ESPORTSTMNT01/1690563,complete,LCK,2021,0,2021/1/13 10:04,1,11.01,10,Red,sup,Vsta,oe:player:16c1637b4b44b008b4d6627f68ae30a,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Sett,1849,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0.3894,0,0,3053,99.0698,0.070084,414.0617,316.4197,58,1.8821,17,0.5516,23,94,3.0503,5791,1743,56.5603,0.0678482,4975,39,39,0,1.2655,2151,2617,16,2171,2785,15,-20,-168,1,0,0,0,0,0,0,3040,3539,24,3689,4136,27,-649,-597,-3,0,0,1,0,1,
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,5,Blue,sup,Vsta,oe:player:16c1637b4b44b008b4d6627f68ae30a,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Rell,1787,1,0,2,11,17,8,0,0,0,0,0,0,0,0,0.5708,0.8394,0,0,3071,103.1114,0.0572062,299.3956,294.0571,49,1.6452,27,0.9065,19,113,3.7941,7244,3323,111.5725,0.0893364,6075,48,48,0,1.6116,2072,2313,16,2121,2543,13,-49,-230,3,0,0,0,0,0,0,3188,3456,24,3184,3539,22,4,-83,2,0,2,0,0,1,
ESPORTSTMNT01/1690580,complete,LCK,2021,0,2021/1/13 11:32,2,11.01,10,Red,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Alistar,1787,0,0,6,7,8,17,0,0,0,0,0,0,0,0,0.2686,0.8394,0,0,2948,98.9815,0.0654922,545.4057,659.3956,51,1.7124,9,0.3022,19,66,2.216,6132,2211,74.2361,0.0675883,7095,32,32,0,1.0744,2121,2543,13,2072,2313,16,49,230,-3,0,0,0,0,0,0,3184,3539,22,3188,3456,24,-4,83,-2,0,1,1,0,2,
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,5,Blue,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Maokai,1801,1,1,6,14,24,16,0,0,0,0,1,0,1,0,0.7996,1.3326,0,0,16958,564.9528,0.249426,594.4031,391.116,47,1.5658,11,0.3665,19,68,2.2654,8190,4240,141.2549,0.0932443,7575,40,40,0,1.3326,2249,2037,11,2396,2679,15,-147,-642,-4,0,3,1,0,3,2,3716,3493,20,3470,3355,19,246,138,1,0,5,3,1,3,
ESPORTSTMNT01/1690585,complete,LCK,2021,0,2021/1/13 12:29,3,11.01,10,Red,sup,Vsta,oe:player:16c1637b4b44b008b4d6627f68ae30a,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Rell,1801,0,1,7,10,16,24,0,0,0,0,0,0,0,1,0.533,1.3326,0,0,3797,126.4964,0.056487,541.0661,488.5619,46,1.5325,6,0.1999,17,69,2.2987,6472,2522,84.02,0.0805794,6475,25,25,0,0.8329,2396,2679,15,2249,2037,11,147,642,4,0,3,2,0,3,1,3470,3355,19,3716,3493,20,-246,-138,-1,1,3,3,0,5,
