kills,assists,damagetakenperminute,damagemitigatedperminute,goldat15,csat15,killsat15,assistsat15
10,3,806.7065,761.7547,6236,122,3,1
0,1,620.5053,461.4515,4688,130,0,0
1,1,805.1667,876.2333,5228,138,0,0
4,9,1069.3667,890.6,5953,142,1,2
2,6,547.0416,497.6528,4396,98,0,1
0,0,376.7766,327.7123,4548,112,0,0
1,7,564.7454,538.4555,4387,102,1,0
1,5,595.1987,497.8623,5187,116,1,0
3,6,1030.1277,705.2415,6443,137,1,0
0,6,632.7152,1000.9106,4892,115,0,3
3,2,387.509,289.2625,5094,135,0,0
1,1,559.0304,629.0253,5464,135,0,1
2,17,815.8864,1003.7981,4931,96,1,6
3,1,899.1672,840.795,6024,116,2,0
1,5,610.3808,413.5038,4314,107,0,0
5,1,475.5277,354.6137,6544,140,3,0
3,7,548.1036,458.7974,4833,129,0,0
2,4,628.5846,544.1628,5908,124,2,2
2,13,521.6694,729.5159,5348,131,1,3
0,1,340.8681,222.1369,4489,119,0,0
1,7,927.2727,1547.9898,4775,120,0,1
1,1,1206.1204,1037.977,5404,134,1,0
0,1,477.6131,223.1935,5005,115,0,0
2,3,817.7003,1007.4768,5562,138,0,2
6,7,605.7692,751.1899,5535,125,2,3
2,0,617.524,477.3317,5541,135,1,0
0,2,584.7695,722.7345,4916,136,0,0
4,7,590.8744,632.0509,5335,138,1,0
0,2,750.3596,848.2118,4572,114,0,0
7,6,504.8452,402.6773,6352,137,2,1
0,9,757.8319,685.1401,5487,139,0,1
1,8,895.4446,823.2887,4388,103,0,2
1,3,574.1449,771.8841,4134,98,0,1
1,9,727.0725,706.6377,5783,127,0,0
9,8,387.0486,415.0378,5783,143,0,0
1,2,867.7622,895.4595,5258,130,1,0
7,7,797.2152,675.9132,6216,136,1,1
1,1,770.5244,682.4593,4388,113,0,0
2,4,578.1071,810.6071,4522,115,0,0
2,2,861.5,683.4286,5206,141,0,0
1,9,592.1976,683.2258,4805,119,0,2
2,4,666.2903,516.8649,6340,120,1,1
1,2,1106.457,856.5935,4576,121,0,0
2,8,730.9674,451.0861,6062,141,0,2
2,2,776.7241,569,5970,128,0,0
0,1,979.4828,753.3103,4350,104,0,1
4,5,651.8997,883.191,4687,124,0,0
2,4,711.1313,637.7481,5552,121,1,0
2,6,672.9174,725.4793,4762,127,0,0
2,9,479.1322,450.4959,5331,146,0,0
6,2,446.2317,600.6134,4920,114,1,1
1,5,491.2171,759.2016,5284,130,1,4
0,1,764.4788,410.5792,4496,118,0,0
4,6,397.2587,250.3475,5345,136,1,1
1,2,729.7068,649.6021,5960,134,1,0
2,5,437.1832,315.7068,5108,132,0,0
1,3,727.8507,632.4179,4482,119,0,0
7,7,940.0896,722.9851,5354,142,0,1
5,12,714.1577,690.1855,5165,107,1,1
1,7,969.6909,1103.323,4479,111,0,0
2,3,533.3185,463.804,4590,121,0,0
1,3,867.4744,1003.0557,6171,119,1,1
2,8,1108.469,1017.2661,6068,131,0,0
1,3,946.8044,1061.8104,5057,118,0,3
3,4,480.2944,289.4603,6787,141,1,2
0,10,657.4681,539.0579,4334,89,0,3
0,4,550.8791,604.5055,6085,153,0,0
5,5,699.1484,703.6813,4664,123,0,0
1,9,711.1686,797.0065,5058,135,0,1
3,2,652.183,315.0373,5817,146,0,0
3,9,1162.4888,1137.4213,5161,135,1,0
1,4,784.6177,679.1004,4718,128,0,0
0,6,1256.5103,1133.7537,5565,155,0,0
2,9,746.7742,603.9296,6163,137,1,3
2,1,800.1963,880.1155,5400,146,1,0
4,4,863.4527,799.9885,4862,124,0,1
0,12,710.0257,988.1318,5256,131,0,2
0,1,808.6258,1256.14,4853,130,0,1
0,7,536.6843,367.131,4912,121,0,3
1,2,726.5859,530.9614,4791,114,1,0
2,8,830.746,800.3634,5223,141,0,0
4,2,814.6038,1501.0205,5758,140,0,0
0,6,408.5199,276.2816,5637,142,0,2
0,8,599.0523,1068.4386,5100,132,0,1
1,4,1161.2791,979.4186,5983,139,0,2
2,4,937.5194,1157.0155,4928,115,1,1
0,2,837.31,1204.842,5551,141,0,0
1,7,818.9155,1077.6687,4711,106,1,0
4,16,818.0715,1024.0863,5708,108,2,3
2,1,945.8395,514.6325,4852,117,0,1
3,1,509.3623,349.5072,6671,139,1,0
2,7,969.6812,917.4203,4627,128,0,0
2,3,506.7321,466.5638,5598,119,1,1
2,6,1013.885,1236.2693,6520,156,1,0
0,6,721.7507,980.4451,5190,149,0,0
3,6,1004.0653,1003.8872,5113,128,0,1
2,6,698.5524,543.0724,5129,143,0,0
1,6,447.9764,323.4564,4842,128,0,0
5,7,584.0853,595.9246,5621,107,2,2
2,2,895.5379,805.8503,4795,111,1,1
3,3,873.9482,943.057,5674,122,1,1
1,6,722.6736,600.0933,4356,85,0,2
3,6,755.2415,724.594,4671,123,0,1
0,2,668.6023,894.9126,5293,139,0,0
0,3,565.4019,499.4534,4952,141,0,1
3,7,743.6334,574.5659,5875,142,0,0
2,5,640.7089,938.4684,4799,123,0,0
5,2,444.7025,455.6203,6111,151,0,1
0,0,718.6199,1169.4085,4110,103,0,0
3,5,657.0756,604.9617,5722,135,1,1
2,11,567.5866,740.6436,4468,109,0,0
0,2,989.703,1129.3812,5441,142,0,1
1,3,585.1591,627.136,5809,122,1,1
4,14,954.2141,1224.2719,5270,133,1,1
4,8,947.5083,712.5581,5407,117,2,1
1,3,442.7575,409.0033,5641,133,0,0
7,4,904.1193,805.0216,4586,116,0,0
3,7,815.6846,1072.2793,5654,132,0,0
4,6,845.5417,868.3375,5244,122,1,2
2,7,920.9685,735.9661,4969,142,0,0
3,6,892.0051,1135.3512,4376,113,0,0
3,7,782.3755,1057.599,5570,139,1,1
1,6,803.3127,909.7651,5749,133,0,1
4,4,823.9308,757.157,5362,139,0,1
1,4,561.0461,491.6603,5488,122,0,1
